E001 3565477247653135176171765334654334321
E002 5312345425432367165452346571
E003 335335351766523422342476571111645314565111645314321
E004 51122321235231511223212352313565343235652351122321235231
E005 333234444443255556711234321121711123456176534321
E006 1321354323421713451542517654555432145352351765432654325121
E007 123132217712156667117712112313221771215666711771215534564423453331232556543211231322177121566671177121
E008 12353212346532653321321512352315115671176176565332132151235231
E009 345123432223454333455653421
E010 1515123423171234554323162171
E011 567156715671177666555555555671
E012 33544465123427123335444651234221711714767365646653517147673656467121
E013 3213565432343232135654323432166465454344432532135654324321
E014 551167521235511762171
E015 51111153333335556531233221
E016 1233112331123333432234422344234555542312331123311233334322344223442345555421
E017 115566544332215544332554433211556654433251

E101 12333455633211123334556332117661556511235176615565121
E102 333354322224321122321267211
E103 3212345653123255171665565231
E104 1111117677722222217111333212221677765432111
E105 3332165122321325435121176716532171675721
E106 1351616545312215544353255443532135161654531221
E107 51651232135321325321343235612321
E108 33542711366232176555653121671712132471
E109 321133534456533212323133546456535671
E110 53221345143327123322117617665671
E111 511223133425564166531233221
E112 565321253176565325653515621716521
E113 3451765123543234517651235421
E114 5332355661665553323556651321535615313253561651321
E115 11765333334567767155677651176533333456656176545671271
E116 34321356543714323432135654354321777121112344321323432135654354321
E117 5345316515674234276556435345316517761765143321
E118 332117615334553132332117615313211116561333123233211761531321
E119 5135635135625724654351356351356257242171211761765676546765451761765676546542343
E120 332113135567653671223321131355123427321176164765753654611712176164765753654611211
E121 533343226677653533343266773321555434644432355543444123543217153334326677653533343266554471
E122 5517655543215661465512355555544321
E123 51113212311356653312123166516533121265335665331212316651
E124 5345346553453212332156146543453221

E201 132123112161656535333212556535112161651321
E202 5456516544345476176554565333216432175671
E203 3334322444543355531446513121
E204 53212165353211712532121653562176715162777767123516277776711
E205 551371265572676555132346443177671
E206 3211766715321212354232117667123156217671
E207 511113217122224321233332116433323217121233444353254321644443332321
E208 51333323215131354325433212354665712321
E209 553453565444423466554355655122167757121
E210 532176155544335223217614433221
E211 2253356653532332156123453211
E212 51333215133132345454332121654433221

E301 351332225746551513541435321
E302 111533311355432234432311325721
E303 32151343565312321513455432171
E304 15151216172727676365313135172653354325224321
E305 5334221234555533422135532222234333334553342213551
E306 134555617651345556543213455561765171271656322153553555617651712716563221
E307 34451232157646533445123215765211766555764465351121232165171
E308 5335544422443353351765651
E309 15133135545665432323553251
E310 53155443442765454353322117655671
